ID_cliente,Edad,Ingreso_mensual,Categoría,Ciudad,País
ID_001,-1.0,,b,,
ID_002,,,b,Ciudad_B,Pais_Y
ID_003,150.0,7646.28,A,Ciudad_B,
ID_004,30.0,-500,VIP,Ciudad123,Pais_X
ID_005,150.0,N/A,a,ciudad_a,Pais_X
ID_006,-1.0,16558.77,B,,Pais_Y
ID_007,-1.0,,A,,Pais_Y
ID_184,-1.0,15340.81,B,,
ID_009,48.0,-500,a,,Pais_Y
ID_010,,-500,C,,Pais_Y
ID_011,33.0,,B,Ciudad_A,
ID_012,150.0,-500,b,,Pais_Y
ID_013,54.0,,,ciudad_a,
ID_014,81.0,,A,Ciudad_B,
ID_015,68.0,N/A,VIP,Ciudad-C,Pais_X
ID_016,-1.0,18961.81,B,Ciudad_B,
ID_439,150.0,-500,A,ciudad_a,Pais_Y
ID_085,-1.0,2742.51,,Ciudad_A,Pais_X
ID_019,22.0,12422.06,VIP,Ciudad_B,
ID_020,-1.0,8397.15,C,ciudad_a,
ID_021,29.0,3584.98,C,Ciudad_A,
ID_022,150.0,N/A,A,Ciudad_B,
ID_023,19.0,-500,B,Ciudad-C,Pais_X
ID_024,,13244.05,B,Ciudad-C,Pais_X
ID_025,-1.0,16717.33,B,Ciudad-C,Pais_X
ID_026,29.0,11771.21,,Ciudad_B,Pais_Y
ID_027,60.0,,b,,
ID_028,,N/A,A,Ciudad-C,Pais_Y
ID_029,32.0,,A,,
ID_030,,-500,A,Ciudad_A,
ID_031,-1.0,-500,C,Ciudad123,Pais_X
ID_032,-1.0,,B,,Pais_X
ID_285,,-500,B,Ciudad_A,Pais_Y
ID_034,,-500,b,Ciudad_B,
ID_145,-1.0,N/A,b,ciudad_a,Pais_X
ID_036,150.0,-500,a,Ciudad-C,
ID_037,,12113.32,A,Ciudad123,Pais_Y
ID_038,,,A,Ciudad_B,
ID_039,52.0,,VIP,ciudad_a,
ID_143,-1.0,11022.8,B,Ciudad_B,
ID_041,18.0,,C,Ciudad_A,Pais_Y
ID_042,,-500,b,Ciudad123,Pais_X
ID_043,89.0,16732.84,b,Ciudad123,
ID_044,-1.0,12006.65,C,Ciudad123,Pais_Y
ID_045,88.0,N/A,B,Ciudad123,
ID_046,-1.0,-500,B,,
ID_047,57.0,N/A,,ciudad_a,Pais_Y
ID_048,73.0,N/A,A,ciudad_a,Pais_X
ID_049,-1.0,,C,ciudad_a,
ID_050,31.0,,C,Ciudad_B,
ID_051,-1.0,,A,Ciudad_A,
ID_052,54.0,13878.16,B,Ciudad_A,
ID_053,150.0,,C,,Pais_Y
ID_054,-1.0,13173.22,A,Ciudad_A,Pais_Y
ID_055,-1.0,4062.77,,,Pais_Y
ID_056,150.0,N/A,C,ciudad_a,Pais_Y
ID_401,42.0,N/A,A,Ciudad123,
ID_116,78.0,5799.32,A,Ciudad123,
ID_059,,N/A,A,ciudad_a,
ID_060,-1.0,-500,,,
ID_061,-1.0,-500,,Ciudad_B,Pais_X
ID_062,150.0,N/A,C,ciudad_a,
ID_063,-1.0,,C,,Pais_X
ID_064,150.0,,b,Ciudad_A,
ID_065,150.0,,B,Ciudad-C,
ID_066,-1.0,-500,B,Ciudad123,
ID_067,,12410.69,B,Ciudad_B,Pais_X
ID_068,-1.0,,C,ciudad_a,Pais_Y
ID_069,-1.0,-500,VIP,Ciudad_B,Pais_Y
ID_070,58.0,,a,,
ID_071,150.0,-500,b,Ciudad123,
ID_072,-1.0,,C,,
ID_073,150.0,-500,A,Ciudad_A,
ID_074,-1.0,,A,,Pais_X
ID_075,,19309.29,C,Ciudad_B,
ID_076,,N/A,b,Ciudad-C,Pais_Y
ID_077,26.0,6953.78,B,Ciudad123,
ID_078,,3122.33,C,Ciudad123,
ID_079,46.0,N/A,,Ciudad_B,
ID_080,,-500,B,Ciudad_A,Pais_Y
ID_081,-1.0,-500,b,Ciudad-C,
ID_082,150.0,,A,Ciudad_A,Pais_Y
ID_083,21.0,N/A,C,Ciudad_A,Pais_X
ID_084,150.0,5489.95,b,Ciudad123,
ID_085,-1.0,1491.69,A,ciudad_a,
ID_086,-1.0,N/A,A,Ciudad_A,
ID_087,150.0,-500,B,ciudad_a,
ID_088,,,A,,Pais_Y
ID_089,-1.0,12536.42,,Ciudad_B,Pais_X
ID_090,,10989.41,B,Ciudad_A,Pais_Y
ID_091,71.0,N/A,a,Ciudad_A,
ID_092,-1.0,6734.3,a,Ciudad123,
ID_093,18.0,-500,VIP,Ciudad_A,Pais_X
ID_094,72.0,14026.67,VIP,,Pais_X
ID_095,-1.0,9365.11,B,Ciudad123,
ID_096,,-500,A,Ciudad_A,Pais_Y
ID_097,-1.0,-500,b,Ciudad_B,Pais_Y
ID_098,-1.0,,A,Ciudad123,
ID_099,150.0,12282.41,a,Ciudad_A,
ID_100,150.0,1121.38,C,Ciudad123,
ID_101,-1.0,,VIP,Ciudad_A,Pais_X
ID_132,-1.0,N/A,,ciudad_a,Pais_X
ID_103,-1.0,18021.55,a,Ciudad-C,
ID_104,,,A,Ciudad-C,
ID_105,,,a,ciudad_a,
ID_106,150.0,,C,Ciudad_B,Pais_Y
ID_107,24.0,3797.23,C,Ciudad_B,Pais_X
ID_155,33.0,,B,,
ID_109,150.0,15572.94,,Ciudad_A,Pais_X
ID_110,150.0,,A,Ciudad123,Pais_Y
ID_111,,-500,A,,Pais_X
ID_112,20.0,N/A,VIP,ciudad_a,Pais_Y
ID_113,150.0,,C,,Pais_Y
ID_114,87.0,-500,C,Ciudad_A,
ID_115,150.0,N/A,,Ciudad_A,Pais_X
ID_116,150.0,,A,,Pais_X
ID_117,150.0,,b,Ciudad_A,Pais_X
ID_268,-1.0,,C,Ciudad-C,
ID_119,150.0,-500,,ciudad_a,Pais_X
ID_120,-1.0,-500,B,Ciudad123,
ID_121,,N/A,VIP,Ciudad-C,Pais_X
ID_122,,15973.38,C,ciudad_a,
ID_123,,N/A,B,Ciudad_B,Pais_X
ID_124,-1.0,-500,a,,Pais_Y
ID_125,-1.0,2560.37,A,ciudad_a,Pais_Y
ID_126,56.0,5685.07,b,Ciudad123,
ID_127,,N/A,B,,Pais_X
ID_128,83.0,-500,,Ciudad-C,
ID_129,150.0,16115.67,C,,
ID_130,150.0,12122.92,C,,Pais_X
ID_045,150.0,3533.26,,,
ID_015,,,A,ciudad_a,Pais_Y
ID_133,150.0,6937.64,VIP,Ciudad_B,Pais_X
ID_042,,19851.93,,Ciudad_A,
ID_135,,-500,C,ciudad_a,Pais_X
ID_136,150.0,-500,A,Ciudad-C,Pais_X
ID_137,150.0,-500,VIP,Ciudad_B,
ID_138,-1.0,,A,Ciudad-C,Pais_X
ID_139,57.0,1861.35,A,,Pais_X
ID_184,150.0,,A,Ciudad_B,Pais_X
ID_141,,-500,,Ciudad_B,Pais_X
ID_142,150.0,-500,C,Ciudad123,
ID_143,-1.0,N/A,A,Ciudad_A,Pais_Y
ID_144,,,VIP,Ciudad_A,Pais_Y
ID_145,150.0,11048.52,A,Ciudad_B,
ID_146,32.0,,b,Ciudad-C,
ID_147,-1.0,N/A,b,Ciudad-C,
ID_148,150.0,6358.27,B,Ciudad_B,
ID_149,-1.0,14262.35,A,,Pais_Y
ID_324,-1.0,19526.69,b,Ciudad_A,Pais_X
ID_151,150.0,,a,Ciudad-C,
ID_152,150.0,14265.13,,,
ID_153,-1.0,,b,Ciudad_A,Pais_Y
ID_154,31.0,14234.22,B,Ciudad123,Pais_X
ID_155,51.0,1749.9,C,,
ID_156,74.0,17520.34,B,Ciudad_B,Pais_X
ID_157,,N/A,B,Ciudad_A,
ID_158,86.0,N/A,b,,Pais_Y
ID_159,-1.0,10128.23,a,Ciudad123,
ID_160,-1.0,-500,A,Ciudad_A,
ID_362,40.0,,C,Ciudad123,Pais_X
ID_162,150.0,,C,Ciudad123,Pais_Y
ID_163,,16128.22,C,ciudad_a,
ID_120,-1.0,N/A,VIP,ciudad_a,
ID_165,19.0,-500,C,ciudad_a,
ID_166,-1.0,-500,B,Ciudad_B,Pais_X
ID_167,150.0,-500,a,Ciudad123,
ID_168,150.0,3432.28,A,Ciudad-C,Pais_X
ID_169,-1.0,-500,,,Pais_Y
ID_170,,,B,Ciudad_B,
ID_171,150.0,N/A,A,Ciudad_B,Pais_Y
ID_172,-1.0,N/A,b,Ciudad_A,Pais_X
ID_173,-1.0,17528.92,A,Ciudad_B,Pais_Y
ID_174,150.0,13775.67,A,,
ID_175,150.0,-500,VIP,Ciudad-C,
ID_176,150.0,,A,Ciudad123,Pais_Y
ID_177,-1.0,19202.29,a,Ciudad123,Pais_X
ID_178,-1.0,,C,,Pais_Y
ID_179,22.0,N/A,B,Ciudad_B,
ID_180,-1.0,-500,b,,Pais_X
ID_181,54.0,,B,Ciudad123,Pais_X
ID_182,150.0,N/A,C,Ciudad_B,
ID_183,-1.0,-500,VIP,Ciudad_A,Pais_X
ID_184,-1.0,,C,Ciudad_B,Pais_X
ID_185,150.0,-500,B,,Pais_X
ID_094,150.0,,C,Ciudad-C,Pais_X
ID_187,,,A,,Pais_Y
ID_188,44.0,4102.98,A,,
ID_189,,-500,C,Ciudad-C,
ID_190,-1.0,N/A,C,ciudad_a,
ID_191,20.0,-500,C,Ciudad-C,
ID_192,150.0,14279.4,B,Ciudad_A,
ID_193,,N/A,a,Ciudad123,
ID_194,150.0,N/A,VIP,ciudad_a,Pais_Y
ID_195,150.0,N/A,A,Ciudad_A,Pais_X
ID_196,-1.0,,A,,Pais_X
ID_269,150.0,3800.49,C,Ciudad_B,Pais_Y
ID_198,-1.0,-500,C,ciudad_a,Pais_Y
ID_199,,5229.14,A,Ciudad-C,Pais_X
ID_200,150.0,,B,Ciudad_A,
ID_201,,,C,Ciudad-C,Pais_Y
ID_202,-1.0,,b,Ciudad_A,
ID_203,58.0,4608.3,C,,Pais_Y
ID_204,30.0,N/A,C,ciudad_a,
ID_205,-1.0,-500,b,ciudad_a,
ID_206,,,A,,
ID_207,150.0,-500,A,,Pais_Y
ID_208,63.0,-500,A,Ciudad_B,
ID_209,,-500,b,Ciudad-C,
ID_210,150.0,,a,Ciudad-C,Pais_X
ID_211,68.0,N/A,,,Pais_X
ID_212,,12682.7,C,Ciudad-C,Pais_X
ID_213,57.0,16821.4,,Ciudad123,
ID_188,36.0,,B,Ciudad_B,
ID_215,,5234.6,,Ciudad123,
ID_216,,-500,B,,Pais_Y
ID_217,150.0,4360.22,B,Ciudad-C,
ID_218,150.0,,A,Ciudad_A,Pais_Y
ID_219,-1.0,N/A,,Ciudad123,Pais_Y
ID_220,150.0,,A,Ciudad_B,
ID_129,-1.0,,A,Ciudad_A,Pais_Y
ID_222,-1.0,N/A,a,Ciudad-C,
ID_223,32.0,15256.73,,Ciudad_A,
ID_224,150.0,,VIP,ciudad_a,
ID_225,,,b,,Pais_X
ID_226,150.0,-500,C,Ciudad123,
ID_227,,-500,C,Ciudad-C,Pais_Y
ID_228,85.0,N/A,b,Ciudad_A,
ID_229,-1.0,N/A,C,,
ID_230,-1.0,-500,A,Ciudad_B,Pais_Y
ID_246,70.0,11927.53,a,Ciudad_A,
ID_232,,,A,,Pais_Y
ID_233,150.0,,A,Ciudad_A,Pais_X
ID_234,150.0,3692.6,b,,
ID_235,150.0,-500,VIP,Ciudad_B,
ID_236,150.0,,C,ciudad_a,Pais_X
ID_237,150.0,10520.73,A,,Pais_X
ID_238,,18643.77,b,Ciudad_B,Pais_Y
ID_239,54.0,,B,Ciudad123,Pais_X
ID_240,150.0,N/A,VIP,Ciudad-C,
ID_241,150.0,,C,Ciudad_B,Pais_Y
ID_242,53.0,-500,B,Ciudad_A,
ID_243,150.0,,a,Ciudad-C,
ID_244,150.0,1605.54,C,Ciudad-C,
ID_245,-1.0,-500,,Ciudad123,Pais_Y
ID_246,150.0,5863.2,B,Ciudad_A,
ID_247,,13835.71,,,
ID_248,74.0,,VIP,Ciudad123,
ID_249,63.0,N/A,A,Ciudad_B,
ID_250,45.0,12777.62,a,Ciudad123,
ID_251,,,VIP,Ciudad_B,
ID_252,,N/A,,Ciudad_B,Pais_X
ID_253,-1.0,13092.7,,Ciudad_B,
ID_425,55.0,,VIP,Ciudad_B,Pais_X
ID_470,,,A,,Pais_X
ID_256,150.0,N/A,C,,Pais_Y
ID_257,,3150.05,B,Ciudad_A,Pais_X
ID_258,-1.0,5902.69,B,Ciudad_A,
ID_045,,-500,C,ciudad_a,Pais_Y
ID_260,-1.0,,,Ciudad_B,
ID_261,31.0,16767.19,,Ciudad123,Pais_X
ID_262,64.0,N/A,VIP,Ciudad123,Pais_X
ID_263,,-500,B,Ciudad123,
ID_264,150.0,2977.42,A,Ciudad-C,Pais_Y
ID_265,34.0,-500,a,Ciudad_B,
ID_266,46.0,-500,B,Ciudad-C,Pais_Y
ID_129,,N/A,C,ciudad_a,
ID_268,150.0,5874.36,B,,Pais_Y
ID_269,,6129.73,C,,
ID_270,150.0,-500,b,Ciudad_B,
ID_133,-1.0,,,Ciudad_A,Pais_Y
ID_272,-1.0,,,,Pais_Y
ID_273,36.0,5662.07,a,ciudad_a,
ID_274,52.0,,VIP,Ciudad123,Pais_Y
ID_275,75.0,,B,,Pais_Y
ID_190,-1.0,N/A,C,Ciudad_A,
ID_277,,N/A,A,Ciudad_A,Pais_Y
ID_278,,N/A,A,ciudad_a,
ID_279,86.0,N/A,C,Ciudad_A,Pais_Y
ID_280,,N/A,C,Ciudad_A,
ID_281,-1.0,-500,B,Ciudad123,
ID_282,,-500,C,Ciudad123,Pais_X
ID_283,,N/A,,Ciudad-C,Pais_Y
ID_284,150.0,N/A,C,Ciudad-C,
ID_285,150.0,13155.27,C,Ciudad-C,Pais_Y
ID_286,,19632.28,A,,
ID_287,,-500,C,Ciudad_B,Pais_X
ID_288,150.0,-500,b,ciudad_a,
ID_289,150.0,-500,,,
ID_290,,-500,B,Ciudad_B,Pais_X
ID_291,28.0,6749.09,,Ciudad_B,
ID_292,,,a,Ciudad123,Pais_X
ID_136,-1.0,3725.84,A,ciudad_a,Pais_Y
ID_294,,-500,B,,Pais_X
ID_295,150.0,19496.77,C,,
ID_296,45.0,-500,C,,Pais_Y
ID_297,150.0,N/A,B,Ciudad123,
ID_298,28.0,N/A,C,Ciudad123,Pais_Y
ID_299,,,VIP,Ciudad-C,
ID_300,150.0,4566.68,b,Ciudad123,
ID_301,74.0,-500,VIP,Ciudad_B,
ID_302,150.0,,VIP,Ciudad123,Pais_X
ID_303,46.0,-500,C,Ciudad-C,
ID_310,,16963.28,C,Ciudad_B,Pais_Y
ID_305,-1.0,N/A,B,,Pais_X
ID_306,,15853.93,B,,Pais_X
ID_307,-1.0,N/A,B,Ciudad-C,Pais_X
ID_308,19.0,5097.94,B,ciudad_a,Pais_Y
ID_309,85.0,,B,,Pais_Y
ID_310,,-500,a,ciudad_a,
ID_311,-1.0,,A,Ciudad-C,
ID_312,,N/A,A,Ciudad-C,
ID_313,150.0,-500,,,
ID_314,150.0,,B,Ciudad123,Pais_X
ID_315,27.0,3884.64,b,Ciudad_A,Pais_X
ID_316,83.0,,VIP,Ciudad_B,Pais_X
ID_317,27.0,17858.67,B,Ciudad_A,Pais_X
ID_107,,N/A,B,Ciudad123,
ID_319,-1.0,N/A,a,,
ID_320,150.0,2823.96,C,ciudad_a,
ID_321,32.0,N/A,C,Ciudad_B,Pais_Y
ID_322,150.0,19698.04,,ciudad_a,
ID_323,150.0,3934.82,C,Ciudad-C,
ID_324,-1.0,14767.25,B,Ciudad_A,Pais_X
ID_325,,4499.27,a,Ciudad_A,
ID_326,39.0,8570.03,b,Ciudad_B,
ID_105,-1.0,-500,A,Ciudad_B,Pais_X
ID_328,53.0,N/A,b,Ciudad123,Pais_Y
ID_329,22.0,6965.55,a,,
ID_330,150.0,N/A,C,Ciudad-C,
ID_331,-1.0,17797.33,,Ciudad123,
ID_332,37.0,2903.06,B,ciudad_a,Pais_X
ID_333,-1.0,,A,Ciudad_B,Pais_X
ID_334,-1.0,,B,Ciudad123,Pais_Y
ID_335,-1.0,-500,C,Ciudad123,Pais_Y
ID_336,51.0,-500,C,Ciudad123,Pais_Y
ID_337,-1.0,14217.7,B,,Pais_X
ID_338,-1.0,6039.9,b,,Pais_X
ID_339,-1.0,,A,,Pais_X
ID_340,-1.0,-500,a,ciudad_a,
ID_341,32.0,,A,Ciudad_B,Pais_X
ID_437,,N/A,C,ciudad_a,Pais_X
ID_343,,17691.25,VIP,Ciudad_A,Pais_Y
ID_344,18.0,1930.35,B,Ciudad-C,
ID_345,76.0,18742.5,VIP,,
ID_346,88.0,17694.74,b,Ciudad_B,Pais_X
ID_347,-1.0,,a,Ciudad123,
ID_348,,7132.24,B,Ciudad_B,
ID_349,-1.0,N/A,C,Ciudad_A,Pais_X
ID_350,,,A,Ciudad_A,Pais_X
ID_351,61.0,-500,B,Ciudad_A,
ID_352,,N/A,B,Ciudad_B,Pais_X
ID_353,35.0,N/A,C,,Pais_Y
ID_354,150.0,-500,C,Ciudad-C,Pais_Y
ID_355,85.0,-500,B,Ciudad_B,Pais_X
ID_356,22.0,,A,Ciudad-C,
ID_357,,N/A,,,
ID_358,150.0,,A,Ciudad_A,
ID_359,66.0,N/A,C,Ciudad_A,Pais_X
ID_360,64.0,N/A,b,,Pais_Y
ID_361,,5480.44,A,Ciudad_B,Pais_X
ID_362,-1.0,N/A,VIP,Ciudad-C,
ID_289,,,VIP,Ciudad_B,
ID_364,-1.0,N/A,,Ciudad-C,Pais_Y
ID_365,,N/A,,Ciudad_B,Pais_Y
ID_185,-1.0,-500,B,Ciudad_B,Pais_X
ID_367,,,B,Ciudad-C,Pais_X
ID_368,150.0,N/A,b,Ciudad-C,
ID_369,-1.0,-500,b,Ciudad_A,Pais_Y
ID_370,150.0,,,Ciudad_A,
ID_371,-1.0,,b,ciudad_a,Pais_Y
ID_372,-1.0,N/A,B,Ciudad_A,
ID_373,150.0,,C,ciudad_a,Pais_X
ID_421,-1.0,15503.39,,Ciudad-C,Pais_X
ID_120,,16047.98,C,ciudad_a,
ID_376,-1.0,-500,C,Ciudad-C,Pais_X
ID_377,,-500,C,Ciudad123,Pais_Y
ID_378,84.0,N/A,B,Ciudad-C,Pais_Y
ID_332,-1.0,N/A,B,Ciudad_B,Pais_Y
ID_380,,-500,A,Ciudad_A,
ID_381,150.0,N/A,A,Ciudad_A,Pais_Y
ID_382,,15497.09,b,Ciudad_A,
ID_383,150.0,-500,C,Ciudad_A,
ID_384,,-500,,Ciudad_A,
ID_385,55.0,N/A,a,Ciudad123,Pais_X
ID_386,,-500,B,Ciudad123,Pais_Y
ID_387,,-500,C,Ciudad_B,Pais_Y
ID_388,87.0,-500,a,Ciudad_A,
ID_389,,N/A,,Ciudad123,
ID_390,-1.0,5758.61,b,Ciudad_A,Pais_Y
ID_391,-1.0,-500,C,,Pais_Y
ID_392,-1.0,18883.85,b,Ciudad_B,
ID_393,150.0,,,Ciudad_A,Pais_X
ID_394,58.0,7439.77,A,Ciudad123,
ID_395,-1.0,,C,Ciudad_B,
ID_396,150.0,-500,B,Ciudad123,
ID_397,-1.0,N/A,B,Ciudad_A,Pais_X
ID_398,56.0,N/A,,Ciudad_B,
ID_399,,N/A,A,Ciudad_B,
ID_400,33.0,-500,B,,Pais_Y
ID_401,37.0,N/A,,,Pais_Y
ID_402,35.0,,,Ciudad_B,
ID_403,61.0,,C,,
ID_404,,-500,,,Pais_Y
ID_405,,N/A,b,ciudad_a,Pais_X
ID_406,52.0,-500,VIP,Ciudad_A,
ID_407,150.0,N/A,A,Ciudad-C,Pais_Y
ID_408,,-500,,Ciudad-C,
ID_409,50.0,-500,B,Ciudad-C,
ID_410,,-500,A,,
ID_411,,-500,VIP,Ciudad123,Pais_Y
ID_203,-1.0,3767.8,B,Ciudad123,
ID_413,150.0,13999.56,b,Ciudad-C,
ID_414,,-500,a,Ciudad_B,Pais_X
ID_415,-1.0,-500,C,ciudad_a,Pais_X
ID_416,150.0,-500,b,Ciudad123,Pais_X
ID_417,,-500,A,Ciudad_B,
ID_418,-1.0,N/A,b,Ciudad123,
ID_419,39.0,N/A,B,Ciudad_A,
ID_420,,,VIP,ciudad_a,Pais_X
ID_421,150.0,N/A,VIP,Ciudad_A,
ID_422,-1.0,-500,B,ciudad_a,Pais_Y
ID_423,150.0,N/A,b,Ciudad_A,
ID_424,-1.0,N/A,B,Ciudad_A,Pais_X
ID_425,,,a,ciudad_a,
ID_426,,1082.05,B,ciudad_a,
ID_427,150.0,N/A,a,Ciudad-C,
ID_428,150.0,N/A,VIP,Ciudad_A,
ID_429,150.0,N/A,A,Ciudad_B,Pais_X
ID_430,76.0,,b,,
ID_431,88.0,N/A,a,,Pais_Y
ID_432,30.0,,,Ciudad-C,
ID_433,-1.0,11100.4,VIP,ciudad_a,Pais_Y
ID_434,-1.0,-500,A,,
ID_435,,-500,B,Ciudad123,Pais_Y
ID_212,-1.0,,A,Ciudad_A,Pais_X
ID_437,150.0,-500,b,Ciudad_B,Pais_X
ID_438,150.0,,a,Ciudad123,Pais_Y
ID_439,150.0,,C,Ciudad_A,
ID_440,-1.0,-500,A,Ciudad-C,
ID_441,150.0,,B,Ciudad_A,Pais_X
ID_442,-1.0,,VIP,Ciudad-C,
ID_443,-1.0,-500,,Ciudad_B,
ID_444,-1.0,-500,B,Ciudad123,
ID_445,35.0,N/A,C,Ciudad_B,
ID_281,,-500,A,ciudad_a,
ID_447,51.0,-500,b,Ciudad_A,
ID_045,150.0,18504.02,a,Ciudad_B,
ID_449,-1.0,-500,A,Ciudad_A,
ID_450,-1.0,,B,Ciudad_A,Pais_Y
ID_451,89.0,-500,A,ciudad_a,
ID_452,150.0,N/A,,Ciudad-C,
ID_453,84.0,6281.84,VIP,Ciudad123,Pais_Y
ID_454,32.0,-500,C,Ciudad123,Pais_X
ID_455,83.0,-500,C,Ciudad-C,Pais_X
ID_456,150.0,,VIP,ciudad_a,Pais_X
ID_457,150.0,-500,b,ciudad_a,Pais_X
ID_458,-1.0,14297.17,a,Ciudad_A,
ID_459,-1.0,,C,,
ID_460,-1.0,,b,,
ID_461,150.0,7202.15,A,Ciudad_B,
ID_462,150.0,10982.35,A,Ciudad_B,Pais_X
ID_463,,N/A,,Ciudad_A,Pais_X
ID_464,63.0,N/A,A,Ciudad_A,Pais_Y
ID_465,68.0,N/A,A,Ciudad_A,
ID_466,25.0,-500,A,Ciudad123,
ID_497,150.0,,C,ciudad_a,Pais_Y
ID_468,150.0,N/A,B,Ciudad-C,
ID_469,20.0,,B,ciudad_a,Pais_X
ID_470,150.0,N/A,B,Ciudad-C,Pais_X
ID_206,33.0,N/A,b,ciudad_a,
ID_472,-1.0,N/A,C,Ciudad_A,
ID_473,-1.0,-500,VIP,ciudad_a,
ID_474,,,VIP,Ciudad_B,
ID_475,150.0,,A,,
ID_476,-1.0,-500,a,ciudad_a,
ID_116,82.0,N/A,C,Ciudad_B,
ID_152,150.0,-500,,Ciudad123,Pais_X
ID_479,,,b,Ciudad_A,Pais_X
ID_480,71.0,4729.79,,,
ID_481,81.0,N/A,B,Ciudad_B,
ID_482,,-500,B,Ciudad_B,
ID_483,150.0,N/A,B,Ciudad_A,
ID_484,,,,Ciudad-C,
ID_485,-1.0,,a,ciudad_a,Pais_Y
ID_486,150.0,,A,,Pais_Y
ID_487,-1.0,N/A,VIP,Ciudad_A,Pais_X
ID_488,-1.0,4744.95,a,Ciudad_B,
ID_489,66.0,N/A,B,Ciudad123,Pais_Y
ID_490,150.0,-500,B,Ciudad123,
ID_491,-1.0,N/A,A,Ciudad_A,
ID_492,62.0,,A,Ciudad_B,
ID_493,55.0,N/A,,ciudad_a,Pais_Y
ID_453,150.0,-500,C,,Pais_X
ID_495,-1.0,N/A,VIP,,
ID_496,-1.0,N/A,A,Ciudad_A,
ID_497,-1.0,,a,Ciudad123,
ID_498,,,A,Ciudad-C,Pais_Y
ID_499,150.0,10781.73,a,Ciudad-C,
ID_500,36.0,N/A,A,,
ID_500,36.0,N/A,A,,
